feature,importance
num__gis_acres,0.08941137777705965
num__total_acres,0.08922505837300385
num__lot_size_sqft,0.08913285252076868
cat__property_type_Vacant Land,0.08774066120008062
cat__property_type_group_vacant_land,0.08349780663270771
cat__model_segment_land,0.07712698807187197
num__longitude,0.07648951827585172
num__latitude,0.07193824094909586
cat__is_residential_False,0.06399735390182494
cat__site_city_missing,0.030750774457553573
cat__site_zip_code_missing,0.03023234554832511
cat__site_state_MT,0.029218953356935615
cat__property_type_Improved Property,0.027400071690778936
cat__is_residential_missing,0.02639525070385773
cat__property_type_group_improved_property,0.026355385260113582
cat__model_segment_improved_unknown,0.021409839850464338
cat__site_state_missing,0.020325824250270387
cat__site_city_BILLINGS,0.00885900974610468
cat__is_residential_True,0.007161937705375587
cat__site_zip_code_59106,0.006493813907229791
cat__model_segment_residential,0.0056776856704500046
cat__site_zip_code_59105,0.005443749866691534
cat__site_zip_code_59101,0.005159508612749344
cat__site_zip_code_59102,0.0037462554319424427
cat__model_segment_commercial_or_income,0.0023239025097567625
cat__property_type_Apartment,0.0015298116596424232
cat__property_type_Condominium,0.0014623957534132476
cat__property_type_group_townhouse,0.001273030664796565
cat__property_type_group_multifamily,0.0012210643302922625
cat__property_type_group_condominium,0.001195313536634236
cat__site_city_LAUREL,0.0011694437673166699
cat__property_type_Townhouse,0.0010399380116391031
cat__site_zip_code_59044,0.001033133347883007
cat__site_zip_code_59079,0.00038469552714730937
cat__property_type_group_industrial,0.00037998585124468325
cat__property_type_Mobile/RV Parks,0.00033265221873742895
cat__model_segment_industrial,0.00032808528025734775
cat__site_zip_code_59015,0.000281800172204794
cat__property_type_Industrial Property,0.00027581750529540207
cat__property_type_group_mobile_rv_park,0.00027073871783954206
cat__site_city_SHEPHERD,0.0002640610776151133
cat__site_city_BROADVIEW,0.0002280815377560054
cat__site_city_HUNTLEY,0.00018437503471029372
cat__site_city_BALLANTINE,0.00016517942205249085
cat__site_zip_code_59037,0.00014797392979216763
cat__site_zip_code_59024,0.0001458873494645171
cat__site_zip_code_59006,0.00013982512883881922
cat__site_zip_code_59002,0.0001372955158010773
cat__site_city_CUSTER,0.00013554886245223884
cat__site_city_MOLT,0.00012245962795762167
cat__site_city_POMPEYS PILLAR,0.00010974139320352976
cat__site_zip_code_59057,0.00010502108355629625
cat__site_zip_code_59088,0.00010460932413385928
cat__site_zip_code_59064,0.00010346374211434496
cat__site_city_WORDEN,9.942449038974422e-05
cat__site_city_ACTON,9.558217341689157e-05
cat__site_city_BILINGS,4.752672744672913e-06
cat__site_zip_code_59041,3.7336814382477844e-06
cat__site_city_JOLIET,2.566954053917479e-06
cat__site_city_POMPEY PILLAR,2.4651430479247706e-06
cat__site_zip_code_59063,2.1646441300923967e-06
cat__site_city_LOCKWOOD,2.064497087573213e-06
cat__site_city_PARK CITY,1.6500990342182217e-06
num__mortgage_rate,0.0
num__hpi_period_change_pct,0.0
num__hpi_index,0.0
cat__county_name_Yellowstone,0.0
num__mortgage_rate_4week_avg,0.0
cat__site_zip_code_59112,0.0
num__tax_year,0.0
cat__site_zip_code_59107,0.0
cat__site_zip_code_59106-3047,0.0
num__hpi_yoy_change_pct,0.0
cat__site_zip_code_59106-2824,0.0
num__unemployment_rate_3month_avg,0.0
cat__site_zip_code_59102-6553,0.0
cat__site_zip_code_59008,0.0
num__unemployment_pressure_score,0.0
cat__site_city_Acton,0.0
cat__site_city_BALLINTINE,0.0
cat__site_city_Ballantine,0.0
cat__site_city_Billings,0.0
cat__site_city_LAUERL,0.0
cat__site_city_POMPEY'S PILLAR,0.0
cat__site_city_SHEPERED,0.0
cat__site_city_SILESIA,0.0
num__unemployment_rate,0.0
num__mortgage_rate_change_52week,0.0
cat__site_zip_code_59037-9204,0.0
cat__site_zip_code_59102-0226,0.0
num__mortgage_rate_13week_avg,0.0
cat__site_zip_code_59057-2109,0.0
num__unemployment_rate_12month_avg,0.0
cat__site_zip_code_59079-4409,0.0
cat__site_zip_code_59084,0.0
cat__site_zip_code_59088-2018,0.0
cat__site_zip_code_59088-2210,0.0
cat__site_zip_code_59089,0.0
cat__site_zip_code_59101-3035,0.0
cat__site_zip_code_59101-6223,0.0
cat__site_zip_code_59101-6654,0.0
cat__site_zip_code_59079-3922,0.0
